x,Cpl,Cpu
0.000000000000000000e+00,-2.90E-01,-6.50E-01
1.000000000000000021e-02,9.906909210526315679e-01,-2.17E+00
2.000000000000000042e-02,8.516665415549596885e-01,-2.02E+00
2.999999999999999889e-02,7.182250000000000023e-01,-1.89E+00
4.000000000000000083e-02,6.170425700934579760e-01,-1.78E+00
5.000000000000000278e-02,5.401328070175438478e-01,-1.70E+00
5.999999999999999778e-02,4.797972982456140678e-01,-1.63E+00
7.000000000000000666e-02,4.322669018404907693e-01,-1.57E+00
8.000000000000000167e-02,3.940924250681199226e-01,-1.53E+00
8.999999999999999667e-02,3.626652510288065900e-01,-1.48E+00
1.000000000000000056e-01,3.361480532319391368e-01,-1.44E+00
1.100000000000000006e-01,3.133239598278335647e-01,-1.41E+00
1.199999999999999956e-01,2.935893830703013019e-01,-1.38E+00
1.300000000000000044e-01,2.774690508940852451e-01,-1.35E+00
1.400000000000000133e-01,2.630141278295605733e-01,-1.32E+00
1.499999999999999944e-01,2.500474999999999781e-01,-1.30E+00
1.600000000000000033e-01,2.394224999999999826e-01,-1.27E+00
1.700000000000000122e-01,2.296798656429942243e-01,-1.25E+00
1.799999999999999933e-01,2.209402623160588719e-01,-1.23E+00
1.900000000000000022e-01,2.135665930599369156e-01,-1.21E+00
2.000000000000000111e-01,2.067244069912609061e-01,-1.20E+00
2.099999999999999922e-01,2.007069288389513040e-01,-1.19E+00
2.200000000000000011e-01,1.954000185528756983e-01,-1.14E+00
2.300000000000000100e-01,1.904515715162676259e-01,-1.09E+00
2.399999999999999911e-01,1.862097053406998048e-01,-1.06E+00
2.500000000000000000e-01,1.822719512195122016e-01,-1.04E+00
2.600000000000000089e-01,1.786743902439024423e-01,-1.02E+00
2.700000000000000178e-01,1.755018496058217137e-01,-1.01E+00
2.800000000000000266e-01,1.724885395292697354e-01,-9.94E-01
2.899999999999999800e-01,1.698029631864816091e-01,-9.79E-01
2.999999999999999889e-01,1.672758138138138173e-01,-9.62E-01
3.099999999999999978e-01,1.648914294294294425e-01,-9.46E-01
3.200000000000000067e-01,1.626896050269299732e-01,-9.29E-01
3.300000000000000155e-01,1.605411575178997408e-01,-9.12E-01
3.400000000000000244e-01,1.584946181384248032e-01,-8.95E-01
3.500000000000000333e-01,1.564573230220107081e-01,-8.78E-01
3.599999999999999867e-01,1.544287685901249429e-01,-8.60E-01
3.699999999999999956e-01,1.523290261282660429e-01,-8.42E-01
3.800000000000000044e-01,1.501506468842729869e-01,-8.23E-01
3.900000000000000133e-01,1.476046528189911000e-01,-8.04E-01
4.000000000000000222e-01,1.448361167361524593e-01,-7.84E-01
4.100000000000000311e-01,1.418105062537224625e-01,-7.64E-01
4.199999999999999845e-01,1.395009552238805905e-01,-7.45E-01
4.299999999999999933e-01,1.374381980906921319e-01,-7.28E-01
4.400000000000000022e-01,1.357854534606205144e-01,-7.11E-01
4.500000000000000111e-01,1.342990941597139443e-01,-6.94E-01
4.600000000000000200e-01,1.330297258641239544e-01,-6.78E-01
4.700000000000000289e-01,1.319770577724836136e-01,-6.63E-01
4.799999999999999822e-01,1.310114030915576488e-01,-6.47E-01
4.899999999999999911e-01,1.302504042806182927e-01,-6.32E-01
5.000000000000000000e-01,1.295577850356294525e-01,-6.17E-01
5.100000000000000089e-01,1.289698990498812370e-01,-6.03E-01
5.200000000000000178e-01,1.284839063426200245e-01,-5.88E-01
5.300000000000000266e-01,1.280420379146919307e-01,-5.74E-01
5.400000000000000355e-01,1.277102843601895799e-01,-5.60E-01
5.500000000000000444e-01,1.274084852071005747e-01,-5.46E-01
5.600000000000000533e-01,1.271658816568047301e-01,-5.32E-01
5.700000000000000622e-01,1.269769148936170100e-01,-5.18E-01
5.799999999999999600e-01,1.268173404255319159e-01,-5.05E-01
5.899999999999999689e-01,1.267142621015348303e-01,-4.91E-01
5.999999999999999778e-01,1.266277286135693292e-01,-4.78E-01
6.099999999999999867e-01,1.265805309734513440e-01,-4.65E-01
6.199999999999999956e-01,1.265566686320754863e-01,-4.51E-01
6.300000000000000044e-01,1.265507724056603722e-01,-4.38E-01
6.400000000000000133e-01,1.265858456098998275e-01,-4.25E-01
6.500000000000000222e-01,1.266321483225426869e-01,-4.12E-01
6.600000000000000311e-01,1.267027781047675161e-01,-3.99E-01
6.700000000000000400e-01,1.267901118304885222e-01,-3.86E-01
6.800000000000000488e-01,1.268960565038257937e-01,-3.72E-01
6.900000000000000577e-01,1.270292705882352935e-01,-3.59E-01
7.000000000000000666e-01,1.271730588235294168e-01,-3.46E-01
7.099999999999999645e-01,1.273495294117646948e-01,-3.33E-01
7.199999999999999734e-01,1.275435508524397354e-01,-3.20E-01
7.299999999999999822e-01,1.277669488536155307e-01,-3.06E-01
7.399999999999999911e-01,1.280219988242210505e-01,-2.93E-01
7.500000000000000000e-01,1.282924279835390979e-01,-2.79E-01
7.600000000000000089e-01,1.286141010575793109e-01,-2.65E-01
7.700000000000000178e-01,1.289579365079364937e-01,-2.51E-01
7.800000000000000266e-01,1.293577013521458041e-01,-2.37E-01
7.900000000000000355e-01,1.298076425631981279e-01,-2.23E-01
8.000000000000000444e-01,1.302955908289241682e-01,-2.08E-01
8.100000000000000533e-01,1.308804938271604934e-01,-1.94E-01
8.200000000000000622e-01,1.315037037037037060e-01,-1.78E-01
8.300000000000000711e-01,1.322444444444444422e-01,-1.63E-01
8.399999999999999689e-01,1.330678752207180848e-01,-1.47E-01
8.499999999999999778e-01,1.339860623896409753e-01,-1.31E-01
8.599999999999999867e-01,1.350763133097762081e-01,-1.14E-01
8.699999999999999956e-01,1.362394447725930324e-01,-9.72E-02
8.800000000000000044e-01,1.376806733608978150e-01,-7.95E-02
8.900000000000000133e-01,1.392575577949022037e-01,-6.14E-02
9.000000000000000222e-01,1.410595732068761210e-01,-4.24E-02
9.100000000000000311e-01,1.431868461998803133e-01,-2.29E-02
9.200000000000000400e-01,1.454713345521023993e-01,-2.73E-03
9.300000000000000488e-01,1.483232541133455429e-01,1.823050222504782672e-02
9.400000000000000577e-01,1.514265255843335600e-01,3.964047399605017535e-02
9.500000000000000666e-01,1.549451610865445472e-01,6.186562211981577047e-02
9.599999999999999645e-01,1.589841335131489952e-01,8.455967017543847275e-02
9.699999999999999734e-01,1.632746992481202697e-01,1.075774396887158452e-01
9.799999999999999822e-01,1.678235714285714331e-01,1.308225758754862356e-01
9.899999999999999911e-01,1.725491695804195758e-01,1.538482210242586856e-01
1.000000000000000000e+00,1.757100000000000051e-01,1.757100000000000051e-01
